fpa_id ra_deg dec_deg survey_mode filter_id PA newRA_deg dRA_arcsec newDEC_deg dDec_arcsec flux_fit flux_error L_pix_expected Lveres_pix Lerror_pix theta theta_err fwhm_fitted aperture_flux nb_bad_pixels chisq_reduced mag
o6506g0465o 333.9709288732 -0.7485155838 MD09 z -156.22 333.97080108 0.183 -0.74876044 0.19 3425.68 425.41 16.21 16.95 1.47 23.42 3.35 4.29 3657.15 0 0.52 20.82
o6506g0467o 333.9698254868 -0.7509315681 MD09 z -156.22 333.96981316 0.13 -0.75097715 0.13 2890.01 284.73 16.21 12.82 0.83 23.84 2.37 2.92 3090.81 0 0.66 20.67
o6508g0127o 242.430692522 53.6334619536 MD08 i -10.26 242.43081483 0.036 53.63322732 0.05 13498.69 376.17 42.57 15.14 0.33 169.11 0.89 4.44 13505.24 73 0.27 20.21
o6508g0133o 242.4362203496 53.6152125282 MD08 i -10.26 242.43616969 0.039 53.61545225 0.05 13109.83 394.98 42.57 14.97 0.37 0.00 0.00 4.97 13222.06 113 0.30 20.05
o6508g0287o 330.9440043528 -19.8452800536 167.OSS.J.Q.w w -49.39 330.94318284 0.147 -19.84460437 0.14 9280.51 421.12 48.80 50.92 1.03 130.77 0.47 5.26 9016.47 0 0.42 21.93
o6508g0329o 331.0905492437 -19.9635879044 167.OSS.J.Q.w w -49.39 331.08985304 0.157 -19.96298623 0.15 8756.38 431.60 48.80 50.21 1.16 129.62 0.58 5.85 8629.68 0 0.42 20.02
o6508g0350o 331.1632034473 -20.0217368875 167.OSS.J.Q.w w -49.39 331.16324043 0.144 -20.02180845 0.14 10211.30 473.75 48.80 49.59 1.14 130.24 0.60 6.36 11134.08 0 0.37 20.18
o6513g0300o 330.833794871 -12.4115068095 167.OSS.N.Q.w w -108.63 330.83381036 0.164 -12.41151765 0.15 2134.62 232.76 15.88 12.96 1.15 76.59 3.95 4.27 2190.86 0 0.32 21.04
o6513g0324o 330.8704649856 -12.3996527191 167.OSS.N.Q.w w -108.63 330.87064675 0.16 -12.39960996 0.15 2377.75 256.99 15.88 12.36 1.30 64.35 5.41 5.26 2608.65 0 0.30 20.89
o6513g0335o 340.2832467366 -16.9426796584 167.OSS.N.Q.w w -116.28 340.283973 0.102 -16.94229271 0.10 7498.44 383.57 49.24 47.63 1.05 62.54 0.52 4.86 7688.83 0 0.44 20.41
o6513g0345o 330.8998968481 -12.3899476619 167.OSS.N.Q.w w -108.63 330.90002008 0.135 -12.38992028 0.12 2085.87 191.98 15.88 13.94 0.91 75.04 2.49 3.57 2330.37 0 0.37 21.52
o6513g0356o 340.1954246195 -16.9838707972 167.OSS.N.Q.w w -116.28 340.19610712 0.086 -16.98357512 0.08 9780.95 395.73 49.24 47.73 0.87 64.32 0.42 5.04 10790.88 0 0.40 20.21
o6513g0366o 330.9295436795 -12.3799557837 167.OSS.N.Q.w w -108.63 330.92953052 0.121 -12.37997861 0.11 2656.33 214.40 15.88 12.77 0.89 64.80 3.28 4.62 2882.16 0 0.35 21.48
o6513g0461o 333.3754432749 -0.9252219897 MD09 i -69.20 333.37532195 0.069 -0.92519881 0.07 7036.24 342.28 16.01 13.99 0.55 120.60 1.70 4.39 7323.49 93 0.41 22.02
o6513g0464o 335.2405267218 -0.2036347419 MD09 i -70.97 335.24028177 0.057 -0.20358465 0.05 7471.43 291.98 14.19 9.38 0.36 114.54 1.92 3.90 7854.18 68 0.75 21.05
o6513g0468o 352.2698350848 0.5561100456 MD10 i -31.21 352.2699908 0.081 0.5558566 0.08 6474.23 336.29 21.21 21.71 0.63 148.93 0.87 3.51 7011.98 0 0.33 20.85
